protein,target_layer,target_head,source_layer,source_head,source_group,alpha_star,indirect_metric,indirect_drop,indirect_fraction_of_total_drop,pass_c_attn_diff_l1,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm,target_total_attn_diff_l1
1PVGA,27,15,13,18,ANCHOR,0.25,0.5933725237846375,-0.0012423992156982422,-0.004960418860776649,13.121971130371094,179.77040100097656,185.57220458984375,69.70447540283203,54.125038146972656
1PVGA,27,15,14,9,ANCHOR,0.25,0.5935344696044922,-0.0014043450355529785,-0.005607005794413675,13.347977638244629,179.8408203125,185.5149383544922,69.7921371459961,54.125038146972656
1PVGA,27,15,17,18,ANCHOR,0.25,0.5942560434341431,-0.0021259188652038574,-0.008487970615396313,13.740434646606445,179.9050750732422,185.64312744140625,69.91070556640625,54.125038146972656
1PVGA,27,15,12,8,OTHER,0.25,0.5949340462684631,-0.0028039216995239258,-0.011194973327991515,13.386377334594727,179.90789794921875,185.58746337890625,69.87271118164062,54.125038146972656
1PVGA,27,15,13,17,OTHER,0.25,0.5943776965141296,-0.0022475719451904297,-0.008973684244970538,13.23886489868164,179.8994140625,185.60018920898438,69.9063720703125,54.125038146972656
1PVGA,27,15,14,0,OTHER,0.25,0.594390869140625,-0.002260744571685791,-0.00902627744052953,13.219032287597656,179.83596801757812,185.6131134033203,69.83928680419922,54.125038146972656
1PVGA,27,15,14,3,OTHER,0.25,0.5950131416320801,-0.002883017063140869,-0.011510770479605918,13.282670974731445,179.88320922851562,185.61866760253906,69.90653228759766,54.125038146972656
1PVGA,27,15,16,7,OTHER,0.25,0.5940821766853333,-0.001952052116394043,-0.007793788029669702,13.356000900268555,179.87063598632812,185.56394958496094,69.884033203125,54.125038146972656
1PVGA,27,15,16,14,OTHER,0.25,0.593939483165741,-0.0018093585968017578,-0.0072240680741573575,13.493961334228516,179.93157958984375,185.59341430664062,69.84400177001953,54.125038146972656
1PVGA,27,15,20,3,OTHER,0.25,0.5940577387809753,-0.0019276142120361328,-0.00769621694288605,13.301565170288086,179.88427734375,185.61373901367188,69.88521575927734,54.125038146972656
1PVGA,27,15,21,13,OTHER,0.25,0.595682680606842,-0.003552556037902832,-0.014183980279217513,13.223912239074707,179.89231872558594,185.62596130371094,69.86993408203125,54.125038146972656
1PVGA,27,15,24,18,OTHER,0.25,0.5942192673683167,-0.0020891427993774414,-0.00834113802869994,13.212956428527832,179.92489624023438,185.66236877441406,69.92418670654297,54.125038146972656
